sku,original_name,original_material,proposed_brand,proposed_colour,proposed_material,proposed_name,size,certifications
MFB-BG-BK,Black Kraft Burger Chip Box Recyclable,"",,Black,Kraft,Burger Chip Box,"",Recyclable
MFB-BG-KR,Kraft Burger Box Recyclable,"kraft, pp",,,Kraft,Burger Box,"",Recyclable
MFB-BG-KR-2,Kraft Burger Chip Box Recyclable,kraft,,,Kraft,Burger Chip Box,"",Recyclable
PIZ-TY-BK,Large Black Folded Board Tray – Recyclable,pp,,Black,,Large Folded Board Tray,"",Recyclable
FNC,Large Fish ‘n’ Chips Recyclable Paper Bag (Case of 250),"kraft, paper",,,Paper,Large Fish ‘n’ Chips Bag,"",Recyclable
FNC-3,Large Fish and Chips Takeaway Box (Case of 100),"",,,,Large Fish and Chips Takeaway Box,"",Recyclable
PIZ-TY-KR,Large Kraft Folded Board Tray – Recyclable,"",,,Kraft,Large Folded Board Tray,"",Recyclable
PIZ-TY-BK-2,Medium Black Folded Board Meal Tray – Recyclable,pp,,Black,,Medium Folded Board Meal Tray,"",Recyclable
FNC-2,Medium Fish and Chips Recyclable Paper Bag (Case of 250),"kraft, paper",,,Paper,Medium Fish and Chips Bag,"",Recyclable
FNC-5,Medium Fish and Chips Recyclable Takeaway Box (Case of 100),cardboard,,,,Medium Fish and Chips Takeaway Box,"",Recyclable
PIZ-TY,Pizza Slice Tray Compostable (Case of 1000),"",,,,Pizza Slice Tray,"",""
PIZ-BG-2,Premium burger box 5in Recyclable/Compostable (Case of 100),"kraft, pla",,,,Premium burger box,"",""
PIZ-BG,Premium burger meal box 9 x 5in Recyclable/Compostable (Case of 100),pla,,,,Premium burger meal box,"",Compostable
PIZ-TY-BK-3,Small Black Folded Board Tray – Recyclable,"",,Black,,Small Folded Board Tray,"",Recyclable
FNC-6,Small Fish and Chips Recyclable Takeaway Box (Case of 100),cardboard,,,,Small Fish and Chips Takeaway Box,"",Recyclable
PIZ-TY-KR-2,Small Kraft Folded Board Tray – Recyclable,kraft,,,Kraft,Small Folded Board Tray,"",Recyclable
VEG-MFB-HG-4,Vegware 5 x 3in Microflute Hinged Window Hot Box – Compostable,"",Vegware,,,Microflute Hinged Window Hot Box,3in,Compostable
VEG-MFB-HG-5,Vegware 6 x 4in Microflute Hinged Hot Box – Compostable,"",Vegware,,,Microflute Hinged Hot Box,4in,Compostable
VEG-MFB-HG-3,Vegware 6 x 4in Microflute Hinged Window Hot Box – Compostable,"",Vegware,,,Microflute Hinged Window Hot Box,4in,Compostable
VEG-MFB-TY-2,Vegware 6 x 6in Microflute Food Tray – Compostable,"",Vegware,,,Microflute Food Tray,6in,Compostable
